Measurement,Azimuth,Elevation,Frequency,Magnitude
13,180.0,60.0,12609.375,-17.52167317981815
13,180.0,60.0,12937.5,-16.34257322914146
13,180.0,60.0,13687.5,-20.97304392989728
13,180.0,60.0,15234.375,-21.957367534417013
13,180.0,60.0,15843.75,-26.52842086510069
13,180.0,60.0,16265.625,-23.16601800502931
13,180.0,60.0,17250.0,-25.362158921984513
13,180.0,60.0,17812.5,-24.056614224982866
13,180.0,60.0,18421.875,-30.506468427703872
13,180.0,60.0,19406.25,-38.71488833141241
13,180.0,60.0,19781.25,-37.22385438067531
13,180.0,60.0,19875.0,-39.70214999392442
13,180.0,60.0,19968.75,-45.772920577502475
14,180.0,45.0,0.0,-22.534091537749156
14,180.0,45.0,187.5,-13.898959952822338
14,180.0,45.0,375.0,-12.167331621086047
14,180.0,45.0,1218.75,-14.230050420330349
14,180.0,45.0,2296.875,-10.635215739195651
14,180.0,45.0,3140.625,-11.805719166086835
14,180.0,45.0,3703.125,-5.072864242642798
14,180.0,45.0,5484.375,-8.343073700750143
14,180.0,45.0,7500.0,-10.868839382044193
14,180.0,45.0,7875.0,-15.595153380262273
14,180.0,45.0,8718.75,-21.001896179883158
14,180.0,45.0,9843.75,-19.63642183424415
14,180.0,45.0,11109.375,-11.920041736028233
14,180.0,45.0,11718.75,-12.104178494902529
14,180.0,45.0,12750.0,-18.31077041183356
14,180.0,45.0,14531.25,-15.38264050730364
14,180.0,45.0,15984.375,-24.18626669650494
14,180.0,45.0,17250.0,-24.30980846018694
14,180.0,45.0,18093.75,-28.696057225912266
14,180.0,45.0,18609.375,-32.28181962179919
14,180.0,45.0,19406.25,-47.5177315697615
14,180.0,45.0,19640.625,-48.00378922345842
14,180.0,45.0,19828.125,-50.023261774527406
14,180.0,45.0,19968.75,-57.382742476155414
15,180.0,30.0,0.0,-22.579782067638753
15,180.0,30.0,187.5,-13.947204252456212
15,180.0,30.0,468.75,-12.311698751619135
15,180.0,30.0,1640.625,-13.312334815807565
15,180.0,30.0,2390.625,-10.29518684153246
15,180.0,30.0,4359.375,-5.2714883975963716
15,180.0,30.0,6562.5,-10.242432661824934
15,180.0,30.0,7031.25,-9.290918146809886
15,180.0,30.0,8484.375,-21.202499078118603
15,180.0,30.0,9046.875,-31.271410096319723
15,180.0,30.0,9281.25,-29.22182705631812
15,180.0,30.0,10359.375,-20.61727870997995
15,180.0,30.0,11109.375,-21.14901861282208
15,180.0,30.0,12281.25,-19.212116928350508
15,180.0,30.0,13406.25,-20.206980355218175
15,180.0,30.0,14109.375,-17.311402147754894
15,180.0,30.0,14718.75,-15.196966185200614
15,180.0,30.0,16125.0,-20.49946873171847
15,180.0,30.0,18328.125,-33.234827112881874
15,180.0,30.0,19171.875,-47.746084655454176
15,180.0,30.0,19546.875,-47.4837105168053
15,180.0,30.0,19828.125,-43.23275590744629
15,180.0,30.0,19968.75,-46.73156971237978
16,180.0,20.0,0.0,-22.51134375960038
16,180.0,20.0,187.5,-14.182005566544852
16,180.0,20.0,703.125,-10.54131572904086
16,180.0,20.0,1828.125,-13.409039457586616
16,180.0,20.0,3703.125,-4.93054841875166
16,180.0,20.0,6562.5,-11.085771765044077
16,180.0,20.0,6796.875,-10.789177936035145
